"","project","year","month","day","plot_id","ecoregion","latitude","longitude","pft","family","genus","species","binomial","specific_leaf_area","leaf_carbon","leaf_nitrogen","leaf_c_to_n","leaf_life","tmean.gy.c","ppt.gy.mm"
"15","CADIS",2014,7,15,1001,"Eastern Cascades",44.2411,-121.6842,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",113,47.3,1.08,43.8,5,6.03,843
"16","CADIS",2014,7,15,1001,"Eastern Cascades",44.2411,-121.6842,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",118.9,47.7,0.97,49.18,10,6.03,843
"17","CADIS",2014,7,15,1001,"Eastern Cascades",44.2411,-121.6842,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",120,47.9,0.82,58.41,12,6.03,843
"18","CADIS",2014,7,15,1001,"Eastern Cascades",44.2411,-121.6842,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",130.4,47.8,0.86,55.58,9,6.03,843
"19","CADIS",2014,7,15,1001,"Eastern Cascades",44.2411,-121.6842,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",132.3,47.3,0.88,53.75,12,6.03,843
"20","CADIS",2014,7,15,1001,"Eastern Cascades",44.2411,-121.6842,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",76,49.7,1.23,40.41,6,6.03,843
"21","CADIS",2014,7,15,1001,"Eastern Cascades",44.2411,-121.6842,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",83.4,49.3,1.05,46.95,5,6.03,843
"22","CADIS",2014,7,15,1001,"Eastern Cascades",44.2411,-121.6842,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",97,49.1,1.14,43.07,6,6.03,843
"23","CADIS",2014,7,15,1001,"Eastern Cascades",44.2411,-121.6842,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",106.9,47.8,1.22,39.18,4,6.03,843
"24","CADIS",2014,7,16,1002,"Eastern Cascades",44.3165,-121.7562,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",73.7,48,0.79,60.76,10,6.44,1365
"25","CADIS",2014,7,16,1002,"Eastern Cascades",44.3165,-121.7562,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",79.1,48.3,0.86,56.16,8,6.44,1365
"26","CADIS",2014,7,16,1002,"Eastern Cascades",44.3165,-121.7562,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",80.1,47.9,0.98,48.88,10,6.44,1365
"27","CADIS",2014,7,16,1002,"Eastern Cascades",44.3165,-121.7562,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",87.6,48.1,0.81,59.38,10,6.44,1365
"28","CADIS",2014,7,16,1002,"Eastern Cascades",44.3165,-121.7562,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",98.3,48.7,1,48.7,8,6.44,1365
"29","CADIS",2014,7,16,1002,"Eastern Cascades",44.3165,-121.7562,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",106,47.6,0.96,49.58,8,6.44,1365
"30","CADIS",2014,7,16,1002,"Eastern Cascades",44.3165,-121.7562,"evergreen needleleaf tree","Pinaceae","Abies","procera","Abies procera",85.3,48.2,0.83,58.07,10,6.44,1365
"31","CADIS",2014,7,16,1002,"Eastern Cascades",44.3165,-121.7562,"evergreen needleleaf tree","Pinaceae","Abies","procera","Abies procera",89.7,49.5,1.28,38.67,9,6.44,1365
"32","CADIS",2014,7,16,1002,"Eastern Cascades",44.3165,-121.7562,"evergreen needleleaf tree","Pinaceae","Abies","procera","Abies procera",96.7,47.9,0.94,50.96,5,6.44,1365
"33","CADIS",2014,7,16,1002,"Eastern Cascades",44.3165,-121.7562,"evergreen needleleaf tree","Pinaceae","Pinus","contorta","Pinus contorta",84,49.6,1.04,47.69,5,6.44,1365
"34","CADIS",2014,7,16,1002,"Eastern Cascades",44.3165,-121.7562,"evergreen needleleaf tree","Pinaceae","Pinus","contorta","Pinus contorta",105.1,49.6,1.31,37.86,5,6.44,1365
"35","CADIS",2014,7,16,1002,"Eastern Cascades",44.3165,-121.7562,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",88.8,48.5,1.44,33.68,3,6.44,1365
"36","CADIS",2014,7,16,1002,"Eastern Cascades",44.3165,-121.7562,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",92.9,48.7,1.47,33.13,4,6.44,1365
"37","CADIS",2014,7,7,1003,"Eastern Cascades",44.3015,-121.7017,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",69.6,47.6,0.79,60.25,8,6.81,841
"38","CADIS",2014,7,7,1003,"Eastern Cascades",44.3015,-121.7017,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",80.8,47.6,0.7,68,10,6.81,841
"39","CADIS",2014,7,7,1003,"Eastern Cascades",44.3015,-121.7017,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",91.2,47.1,0.76,61.97,12,6.81,841
"40","CADIS",2014,7,7,1003,"Eastern Cascades",44.3015,-121.7017,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",91.5,47.8,0.67,71.34,11,6.81,841
"41","CADIS",2014,7,7,1003,"Eastern Cascades",44.3015,-121.7017,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",95.6,47.9,0.87,55.06,9,6.81,841
"42","CADIS",2014,7,7,1003,"Eastern Cascades",44.3015,-121.7017,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",97.6,47.7,0.95,50.21,8,6.81,841
"43","CADIS",2014,7,7,1003,"Eastern Cascades",44.3015,-121.7017,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",104.8,47.3,0.68,69.56,10,6.81,841
"44","CADIS",2014,7,7,1003,"Eastern Cascades",44.3015,-121.7017,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",107.1,48.4,0.99,48.89,10,6.81,841
"45","CADIS",2014,7,7,1003,"Eastern Cascades",44.3015,-121.7017,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",113.9,49.1,0.93,52.8,NA,6.81,841
"46","CADIS",2014,7,7,1003,"Eastern Cascades",44.3015,-121.7017,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",119.2,47.9,0.59,81.19,12,6.81,841
"47","CADIS",2014,7,7,1003,"Eastern Cascades",44.3015,-121.7017,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",127.8,47.3,1.02,46.37,10,6.81,841
"48","CADIS",2014,7,7,1003,"Eastern Cascades",44.3015,-121.7017,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",79.1,47.9,1.32,36.29,5,6.81,841
"49","CADIS",2014,7,7,1003,"Eastern Cascades",44.3015,-121.7017,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",105,48.7,1.38,35.29,2,6.81,841
"50","CADIS",2014,7,23,1004,"Eastern Cascades",44.3703,-121.758,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",72.5,47.5,0.68,69.85,8,6.48,1346
"51","CADIS",2014,7,23,1004,"Eastern Cascades",44.3703,-121.758,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",84.8,47.9,0.96,49.9,9,6.48,1346
"52","CADIS",2014,7,23,1004,"Eastern Cascades",44.3703,-121.758,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",85.7,47.6,0.75,63.47,10,6.48,1346
"53","CADIS",2014,7,23,1004,"Eastern Cascades",44.3703,-121.758,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",88.2,47.4,0.7,67.71,11,6.48,1346
"54","CADIS",2014,7,23,1004,"Eastern Cascades",44.3703,-121.758,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",89,48,0.71,67.61,9,6.48,1346
"55","CADIS",2014,7,23,1004,"Eastern Cascades",44.3703,-121.758,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",96.3,47.9,0.93,51.51,10,6.48,1346
"56","CADIS",2014,7,23,1004,"Eastern Cascades",44.3703,-121.758,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",98.6,47.6,0.89,53.48,10,6.48,1346
"57","CADIS",2014,7,23,1004,"Eastern Cascades",44.3703,-121.758,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",109.7,46.9,0.93,50.43,9,6.48,1346
"58","CADIS",2014,7,23,1004,"Eastern Cascades",44.3703,-121.758,"evergreen needleleaf tree","Pinaceae","Pinus","contorta","Pinus contorta",89.4,49.5,1.21,40.91,5,6.48,1346
"59","CADIS",2014,7,23,1004,"Eastern Cascades",44.3703,-121.758,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",82.9,49.2,1.31,37.56,4,6.48,1346
"60","CADIS",2014,7,23,1004,"Eastern Cascades",44.3703,-121.758,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",83.8,48.7,1.27,38.35,4,6.48,1346
"61","CADIS",2014,7,23,1004,"Eastern Cascades",44.3703,-121.758,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",85.6,48.9,0.98,49.9,3,6.48,1346
"62","CADIS",2014,7,22,1005,"Eastern Cascades",44.3258,-121.6738,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",82.5,48.8,1.2,40.67,4,7.1,624
"63","CADIS",2014,7,22,1005,"Eastern Cascades",44.3258,-121.6738,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",83.6,47.7,1.23,38.78,5,7.1,624
"64","CADIS",2014,7,22,1005,"Eastern Cascades",44.3258,-121.6738,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",85.5,48.7,1.15,42.35,5,7.1,624
"65","CADIS",2014,7,22,1005,"Eastern Cascades",44.3258,-121.6738,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",89.4,47.5,1.11,42.79,5,7.1,624
"66","CADIS",2014,7,22,1005,"Eastern Cascades",44.3258,-121.6738,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",94.2,47.5,1.14,41.67,5,7.1,624
"67","CADIS",2014,7,22,1005,"Eastern Cascades",44.3258,-121.6738,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",95.6,48,1.04,46.15,4,7.1,624
"68","CADIS",2014,7,22,1005,"Eastern Cascades",44.3258,-121.6738,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",104,47.4,1.13,41.95,5,7.1,624
"69","CADIS",2014,7,22,1005,"Eastern Cascades",44.3258,-121.6738,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",105.3,47.8,1.08,44.26,6,7.1,624
"70","CADIS",2014,7,22,1005,"Eastern Cascades",44.3258,-121.6738,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",107.9,48.3,1.53,31.57,5,7.1,624
"71","CADIS",2014,7,14,1006,"Eastern Cascades",44.3442,-121.5727,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",75.5,48.4,1.16,41.72,3,7.87,425
"72","CADIS",2014,7,14,1006,"Eastern Cascades",44.3442,-121.5727,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",80.5,48.9,1.09,44.86,4,7.87,425
"73","CADIS",2014,7,14,1006,"Eastern Cascades",44.3442,-121.5727,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",88.6,48.6,1.09,44.59,3,7.87,425
"74","CADIS",2014,7,14,1006,"Eastern Cascades",44.3442,-121.5727,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",91.9,48.7,1.03,47.28,3,7.87,425
"75","CADIS",2014,7,14,1006,"Eastern Cascades",44.3442,-121.5727,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",92.2,48.7,1.08,45.09,4,7.87,425
"76","CADIS",2014,7,14,1006,"Eastern Cascades",44.3442,-121.5727,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",93.4,47.4,1.04,45.58,3,7.87,425
"77","CADIS",2014,7,14,1006,"Eastern Cascades",44.3442,-121.5727,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",99.2,48.2,1.19,40.5,3,7.87,425
"78","CADIS",2014,7,14,1006,"Eastern Cascades",44.3442,-121.5727,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",99.4,48.5,1.24,39.11,4,7.87,425
"79","CADIS",2014,7,14,1006,"Eastern Cascades",44.3442,-121.5727,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",99.4,48.4,1.08,44.81,4,7.87,425
"80","CADIS",2014,7,14,1006,"Eastern Cascades",44.3442,-121.5727,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",99.5,48.3,1.06,45.57,3,7.87,425
"81","CADIS",2014,7,15,1007,"Eastern Cascades",44.258,-121.6496,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",80,48.3,0.76,63.55,9,6.21,757
"82","CADIS",2014,7,15,1007,"Eastern Cascades",44.258,-121.6496,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",117.5,46.6,0.64,72.81,14,6.21,757
"83","CADIS",2014,7,15,1007,"Eastern Cascades",44.258,-121.6496,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",117.9,47.9,0.9,53.22,9,6.21,757
"84","CADIS",2014,7,15,1007,"Eastern Cascades",44.258,-121.6496,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",72.9,48.7,1.11,43.87,5,6.21,757
"85","CADIS",2014,7,15,1007,"Eastern Cascades",44.258,-121.6496,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",77.9,48.4,1.1,44,5,6.21,757
"86","CADIS",2014,7,15,1007,"Eastern Cascades",44.258,-121.6496,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",79.1,48.3,1.08,44.72,3,6.21,757
"87","CADIS",2014,7,15,1007,"Eastern Cascades",44.258,-121.6496,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",80.8,48.2,1.17,41.2,5,6.21,757
"88","CADIS",2014,7,15,1007,"Eastern Cascades",44.258,-121.6496,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",86,48.2,1.22,39.51,6,6.21,757
"89","CADIS",2014,7,15,1007,"Eastern Cascades",44.258,-121.6496,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",87.5,48.2,1.38,34.93,5,6.21,757
"90","CADIS",2014,7,15,1007,"Eastern Cascades",44.258,-121.6496,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",89.5,48.1,1.02,47.16,5,6.21,757
"91","CADIS",2014,7,15,1007,"Eastern Cascades",44.258,-121.6496,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",99.3,47.8,1.08,44.26,5,6.21,757
"92","CADIS",2014,7,15,1007,"Eastern Cascades",44.258,-121.6496,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",101.5,48,1.09,44.04,6,6.21,757
"93","CADIS",2014,6,29,1008,"Eastern Cascades",44.3233,-121.6054,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",68.2,48.3,1.17,41.28,NA,7.78,443
"94","CADIS",2014,6,29,1008,"Eastern Cascades",44.3233,-121.6054,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",73.2,48.4,1.34,36.12,5,7.78,443
"95","CADIS",2014,6,29,1008,"Eastern Cascades",44.3233,-121.6054,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",75.2,48.5,1.3,37.31,5,7.78,443
"96","CADIS",2014,6,29,1008,"Eastern Cascades",44.3233,-121.6054,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",75.5,49.3,1.16,42.5,5,7.78,443
"97","CADIS",2014,6,29,1008,"Eastern Cascades",44.3233,-121.6054,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",78.3,49.1,1.07,45.89,4,7.78,443
"98","CADIS",2014,6,29,1008,"Eastern Cascades",44.3233,-121.6054,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",80.4,49.2,1.56,31.54,5,7.78,443
"99","CADIS",2014,6,29,1008,"Eastern Cascades",44.3233,-121.6054,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",81.2,49.8,1.13,44.07,6,7.78,443
"100","CADIS",2014,6,29,1008,"Eastern Cascades",44.3233,-121.6054,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",85.1,49.1,1.06,46.32,4,7.78,443
"101","CADIS",2014,6,29,1008,"Eastern Cascades",44.3233,-121.6054,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",86.4,48.6,1.17,41.54,4,7.78,443
"102","CADIS",2014,6,29,1008,"Eastern Cascades",44.3233,-121.6054,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",103.6,48.8,1.16,42.07,6,7.78,443
"103","CADIS",2014,6,29,1009,"Eastern Cascades",44.4515,-121.5577,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",92.5,47.5,0.71,66.9,9,7.16,600
"104","CADIS",2014,6,29,1009,"Eastern Cascades",44.4515,-121.5577,"evergreen needleleaf tree","Cupressaceae","Calocedrus","decurrens","Calocedrus decurrens",77,47.6,0.79,60.25,NA,7.16,600
"105","CADIS",2014,6,29,1009,"Eastern Cascades",44.4515,-121.5577,"evergreen needleleaf tree","Cupressaceae","Calocedrus","decurrens","Calocedrus decurrens",77.9,47.8,1.03,46.41,NA,7.16,600
"106","CADIS",2014,6,29,1009,"Eastern Cascades",44.4515,-121.5577,"evergreen needleleaf tree","Cupressaceae","Calocedrus","decurrens","Calocedrus decurrens",90.3,47.3,0.84,56.31,4,7.16,600
"107","CADIS",2014,6,29,1009,"Eastern Cascades",44.4515,-121.5577,"evergreen needleleaf tree","Cupressaceae","Calocedrus","decurrens","Calocedrus decurrens",93.7,47.4,0.87,54.48,NA,7.16,600
"108","CADIS",2014,6,29,1009,"Eastern Cascades",44.4515,-121.5577,"evergreen needleleaf tree","Cupressaceae","Calocedrus","decurrens","Calocedrus decurrens",94.6,47.6,1.11,42.88,NA,7.16,600
"109","CADIS",2014,6,29,1009,"Eastern Cascades",44.4515,-121.5577,"evergreen needleleaf tree","Cupressaceae","Calocedrus","decurrens","Calocedrus decurrens",97.4,47.6,1.16,41.03,NA,7.16,600
"110","CADIS",2014,6,29,1009,"Eastern Cascades",44.4515,-121.5577,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",69.5,48.8,1.03,47.38,NA,7.16,600
"111","CADIS",2014,6,29,1009,"Eastern Cascades",44.4515,-121.5577,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",72,48.6,1.09,44.59,4,7.16,600
"112","CADIS",2014,6,29,1009,"Eastern Cascades",44.4515,-121.5577,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",73.8,48.3,1.11,43.51,4,7.16,600
"113","CADIS",2014,6,29,1009,"Eastern Cascades",44.4515,-121.5577,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",78.9,48.1,1.11,43.33,4,7.16,600
"114","CADIS",2014,6,29,1009,"Eastern Cascades",44.4515,-121.5577,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",80.5,48.9,0.91,53.74,3,7.16,600
"115","CADIS",2014,6,29,1009,"Eastern Cascades",44.4515,-121.5577,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",84.3,48.1,1.08,44.54,3,7.16,600
"116","CADIS",2014,6,29,1009,"Eastern Cascades",44.4515,-121.5577,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",88.2,47.7,0.86,55.47,4,7.16,600
"117","CADIS",2014,6,29,1009,"Eastern Cascades",44.4515,-121.5577,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",89.6,48.4,1.18,41.02,5,7.16,600
"118","CADIS",2014,6,29,1009,"Eastern Cascades",44.4515,-121.5577,"evergreen needleleaf tree","Pinaceae","Pinus","ponderosa","Pinus ponderosa",94.1,47.9,1.05,45.62,3,7.16,600
"119","CADIS",2014,7,7,1010,"Eastern Cascades",44.2031,-121.3676,"evergreen needleleaf tree","Cupressaceae","Juniperus","occidentalis","Juniperus occidentalis",57.2,48.6,1.03,47.18,NA,8.45,290
"120","CADIS",2014,7,7,1010,"Eastern Cascades",44.2031,-121.3676,"evergreen needleleaf tree","Cupressaceae","Juniperus","occidentalis","Juniperus occidentalis",58.2,48,0.89,53.93,NA,8.45,290
"121","CADIS",2014,7,7,1010,"Eastern Cascades",44.2031,-121.3676,"evergreen needleleaf tree","Cupressaceae","Juniperus","occidentalis","Juniperus occidentalis",59.5,47.4,0.97,48.87,NA,8.45,290
"122","CADIS",2014,7,7,1010,"Eastern Cascades",44.2031,-121.3676,"evergreen needleleaf tree","Cupressaceae","Juniperus","occidentalis","Juniperus occidentalis",59.6,48.9,0.96,50.94,NA,8.45,290
"123","CADIS",2014,7,7,1010,"Eastern Cascades",44.2031,-121.3676,"evergreen needleleaf tree","Cupressaceae","Juniperus","occidentalis","Juniperus occidentalis",62.7,48.1,0.84,57.26,NA,8.45,290
"124","CADIS",2014,7,7,1010,"Eastern Cascades",44.2031,-121.3676,"evergreen needleleaf tree","Cupressaceae","Juniperus","occidentalis","Juniperus occidentalis",62.8,48,0.92,52.17,NA,8.45,290
"125","CADIS",2014,7,7,1010,"Eastern Cascades",44.2031,-121.3676,"evergreen needleleaf tree","Cupressaceae","Juniperus","occidentalis","Juniperus occidentalis",63.8,47.8,1.01,47.33,NA,8.45,290
"126","CADIS",2014,7,7,1010,"Eastern Cascades",44.2031,-121.3676,"evergreen needleleaf tree","Cupressaceae","Juniperus","occidentalis","Juniperus occidentalis",64.9,48,1.03,46.6,NA,8.45,290
"127","CADIS",2014,7,7,1010,"Eastern Cascades",44.2031,-121.3676,"evergreen needleleaf tree","Cupressaceae","Juniperus","occidentalis","Juniperus occidentalis",66.2,49.9,0.79,63.16,NA,8.45,290
"128","CADIS",2014,7,7,1010,"Eastern Cascades",44.2031,-121.3676,"evergreen needleleaf tree","Cupressaceae","Juniperus","occidentalis","Juniperus occidentalis",67.5,48.4,0.82,59.02,NA,8.45,290
"129","CADIS",2014,7,18,1011,"Eastern Cascades",44.2471,-121.433,"evergreen needleleaf tree","Cupressaceae","Juniperus","occidentalis","Juniperus occidentalis",55,49.3,0.73,67.53,NA,8.18,328
"130","CADIS",2014,7,18,1011,"Eastern Cascades",44.2471,-121.433,"evergreen needleleaf tree","Cupressaceae","Juniperus","occidentalis","Juniperus occidentalis",58.4,48.2,0.89,54.16,NA,8.18,328
"131","CADIS",2014,7,18,1011,"Eastern Cascades",44.2471,-121.433,"evergreen needleleaf tree","Cupressaceae","Juniperus","occidentalis","Juniperus occidentalis",59.3,47.3,0.87,54.37,NA,8.18,328
"132","CADIS",2014,7,18,1011,"Eastern Cascades",44.2471,-121.433,"evergreen needleleaf tree","Cupressaceae","Juniperus","occidentalis","Juniperus occidentalis",65.1,47.7,0.98,48.67,NA,8.18,328
"133","CADIS",2014,7,18,1011,"Eastern Cascades",44.2471,-121.433,"evergreen needleleaf tree","Cupressaceae","Juniperus","occidentalis","Juniperus occidentalis",65.4,48.7,0.97,50.21,NA,8.18,328
"134","CADIS",2014,7,18,1011,"Eastern Cascades",44.2471,-121.433,"evergreen needleleaf tree","Cupressaceae","Juniperus","occidentalis","Juniperus occidentalis",65.5,47.6,0.88,54.09,NA,8.18,328
"135","CADIS",2014,7,18,1011,"Eastern Cascades",44.2471,-121.433,"evergreen needleleaf tree","Cupressaceae","Juniperus","occidentalis","Juniperus occidentalis",69.3,47.9,1.02,46.96,NA,8.18,328
